,Company_link,company_name,flag
474,/company/AHLEAST,AHLEAST,1
475,/company/ASIANHOTNR,ASIANHOTNR,1
478,/company/ASIANPAINT,ASIANPAINT,1
485,/company/ASKAUTOLTD,ASKAUTOLTD,1
488,/company/ASLIND,ASLIND,1
492,/company/ASPINWALL,ASPINWALL,1
497,/company/ASALCBR,ASALCBR,1
501,/company/CARBORUNIV,CARBORUNIV,1
502,/company/GRINDWELL,GRINDWELL,1
504,/company/WENDT,WENDT,1
509,/company/DMART,DMART,1
510,/company/AVG,AVG,1
514,/company/AVONMORE,AVONMORE,1
516,/company/AVROIND,AVROIND,1
517,/company/AVSL,AVSL,1
518,/company/AVTNPL,AVTNPL,1
521,/company/AXISBANK,AXISBANK,1
522,/company/AXISCADES,AXISCADES,1
523,/company/AXITA,AXITA,1
526,/company/AYMSYNTEX,AYMSYNTEX,1
530,/company/BBTCL,BBTCL,1
532,/company/BAGFILMS,BAGFILMS,1
533,/company/BCP,BCP,1
534,/company/BLKASHYAP,BLKASHYAP,1
538,/company/BABAFP,BABAFP,1
542,/company/BAFNAPH,BAFNAPH,1
545,/company/BAHETI,BAHETI,1
546,/company/BAIDFIN,BAIDFIN,1
548,/company/BAJAJ-AUTO,BAJAJ-AUTO,1
549,/company/BAJAJCON,BAJAJCON,1
550,/company/BAJAJELEC,BAJAJELEC,1
552,/company/BAJFINANCE,BAJFINANCE,1
553,/company/BAJAJFINSV,BAJAJFINSV,1
554,/company/BAJAJHCARE,BAJAJHCARE,1
555,/company/AMBER,AMBER,1
556,/company/BLUESTARCO,BLUESTARCO,1
557,/company/JCHAC,JCHAC,1
558,/company/KALYANISHP,KALYANISHP,1
559,/company/VOLTAS,VOLTAS,1
560,/company/GLOBALVECT,GLOBALVECT,1
562,/company/INDIGO,INDIGO,1
563,/company/JETAIRWAYS,JETAIRWAYS,1
564,/company/SPICEJET,SPICEJET,1
566,/company/TANEJAERO,TANEJAERO,1
570,/company/BHAGERIA,BHAGERIA,1
571,/company/BHAGCHEM,BHAGCHEM,1
576,/company/BHAGYANGR,BHAGYANGR,1
580,/company/BHANDARI,BHANDARI,1
